Team,ppg,Goals_For,Goals_Against,Shots_For,Shots_Against,PP_perc,PK_perc,CF60_pp,CA60_sh,OZFOperc_pp,Give,Take,hits,blks
ANA,1.21,2.59,2.5,28.9,29.4,20.6,84.2,113.27,101.43,32.2,8.93,4.86,26.24,13.47
ARZ,0.82,2.29,3.15,28.2,33.6,15.6,77.3,88.2,105.73,28.26,7.31,4.8,27.49,14.91
BOS,1.1,2.67,2.64,34.4,26.5,20.1,86.3,109.39,89.66,34.69,7.66,7.17,21.6,13.12
BUF,1.02,2.46,2.74,29.6,34.2,23.1,74.3,103.43,119.68,29.6,7.46,5.75,24.04,14.25
CAL,1.04,2.56,2.84,29.6,28.3,20.7,80.4,99.3,93.68,31.42,9.95,7.54,19.67,13.26
CAR,1.04,2.6,2.87,29.8,27.7,17.2,86.1,89.64,87.63,35.75,9.92,10.02,17.85,13.43
CHC,1.32,2.88,2.56,29.7,31.2,19.6,76.8,94.03,106.52,32.96,9.42,7.33,14.35,14.11
COLO,0.59,2.02,3.39,28.3,32.3,14.9,78,86.35,94,31.35,6.59,7.48,22.2,13.57
COLU,1.36,3.18,2.45,30.4,29.9,22.7,81.8,84.56,96.14,32.64,6.53,6.16,19.09,14.2
DAL,0.93,2.76,3.21,30.4,30.3,18.4,74.1,102.45,102.27,29.35,9.14,5.59,19.45,16.21
DET,0.96,2.41,3.02,28.5,30.8,12,79.8,86.36,105.16,31.8,7.93,5.57,19.7,12.93
EDM,1.19,2.77,2.53,31.4,29.6,20.5,81.7,104.76,106.71,33.07,11.09,7.25,24.68,14.7
FLO,1.07,2.43,2.74,31.9,31.4,15.1,84.2,102.36,85.23,33.43,9.35,8.11,21.02,11.56
LA,1.09,2.49,2.42,30.8,25.7,17.1,84.3,109.13,84.4,36.3,8.25,4,29.69,13.49
MN,1.43,3.29,2.29,30.1,30.7,21.3,82.4,103.6,100.87,31.48,6.39,6.8,15.54,14.96
MONT,1.21,2.83,2.55,29.5,29.9,21.4,79.4,82.6,91.78,31.08,10.74,6.67,20.76,14.88
NASH,1.11,2.79,2.64,31.7,30.3,19,82,95.01,96.06,32.43,8.29,6.75,20.61,13.29
NJ,1.04,2.29,2.8,27.5,31.3,16.4,81.6,85.71,97.14,28.85,7.96,5.54,20.14,13.07
NYI,1.09,2.93,2.95,31,32.4,16,81.3,102.7,112.18,31.06,10.67,7.13,24.47,17.56
NYR,1.34,3.39,2.61,29.7,29.8,20,82.1,101.85,93.77,28.84,10.88,8.02,20.73,15.84
OTT,1.19,2.61,2.69,29.4,30.1,16.4,83.8,102,100.48,33.56,10.09,6.46,26.24,16.37
PHL,1.09,2.54,2.93,31.1,28.6,20.8,80.6,113.74,95.16,34.42,9.27,5.07,25.41,16.09
PITT,1.4,3.55,2.78,34.3,32,21.9,79.1,103.07,103.59,33.52,7.95,6.73,25.07,16
SJ,1.28,2.7,2.35,30.4,27.5,17.1,81.2,107.11,104.69,31.85,13.58,7.91,19.58,15.93
STL,1.13,2.86,2.93,27.6,27.8,21.8,84.2,92.86,94.4,31.07,5.27,6.52,21.41,13.75
TB,1.02,2.7,2.8,29.8,30.1,21,80.3,97.56,103,31.35,8.77,6.04,22.09,12.52
TOR,1.15,3.11,2.84,32.7,32.4,23.5,83.6,107.47,105.36,31.62,10.29,8.65,24.75,14.75
VAN,0.98,2.3,2.84,28,31.2,15.5,79.3,85.04,101.96,32.05,6.49,6.16,18.05,12.28
WASH,1.5,3.41,2.09,29.7,27.9,22.2,84.5,108.45,84.52,32.5,10.73,8.14,21.32,13.48
WIN,0.95,2.86,3.15,29.3,30.8,18.3,77,97.86,107.13,31.25,9.29,6.97,22.15,14.05
