Team,ppg,Goals_For,Goals_Against,Shots_For,Shots_Against,PP_perc,PK_perc,CF60_pp,CA60_sh,OZFOperc_pp,Give,Take,hits,blks
Anaheim,1.26,2.62,2.29,30.3,27.5,23,87.2,111.64,94.07,78.4141,9.78,5.22,27.24,14.37
Arizona,0.95,2.54,2.98,27.6,31,17.7,77.3,97.65,96.06,72.5217,5.67,5.89,22.13,14.02
Boston,1.13,2.88,2.78,32,30.4,20.5,82.2,118.33,94.43,79.4393,8.6,6.11,26.39,14.44
Buffalo,0.99,2.43,2.62,29.5,30.6,18.9,82.6,97.39,100.57,76.2105,6.34,5.26,23.37,13.35
Calgary,0.94,2.79,3.13,29.2,29,17,75.6,94,102.79,77.0624,9.8,6.99,20.73,16.10
Carolina,1.05,2.39,2.7,29.9,27.6,16.8,84.3,102.95,80.65,81.3953,8,9.22,18.90,11.95
Chicago,1.26,2.85,2.52,30.5,30.8,22.6,80.3,85.65,106.95,74.8219,7.83,5.82,16.94,13.82
Colorado,1,2.59,2.93,28.6,32.3,18,80.2,89.35,105.2,81.741,6.3,5.56,22.54,17.09
Columbus,0.93,2.6,3.02,29.1,31.1,17.3,81,90.64,99.17,77.9956,5.83,5.98,26.16,15.37
Dallas,1.33,3.23,2.78,32,28.9,22.1,82.3,105.57,99.39,76.5873,10.63,7.01,18.98,14.93
Detroit,1.13,2.55,2.67,29.7,29.7,18.8,81.6,97.97,100.49,81.1791,7.3,5.06,20.13,11.09
Edmonton,0.85,2.43,2.95,29.1,31.1,18.1,81.1,95.29,102.81,76.5101,10.74,6.88,22.17,15.04
Florida,1.26,2.83,2.44,28.8,29.5,16.9,79.5,90.75,93.16,75.5382,7.44,6.17,23.29,11.49
Los Angeles,1.24,2.72,2.34,32,27.5,20,81.4,114.52,96.84,80.7143,8.88,4.23,30.43,12.52
Minnesota,1.06,2.6,2.49,29,28.6,18.5,77.9,98.36,97.45,78.9047,6.79,6.13,17.15,14.74
Montreal,1,2.63,2.84,30.5,29.4,16.2,81.9,93.79,94.73,74.1201,10.79,6.05,23.57,13.95
Nashville,1.17,2.73,2.6,30.6,27.3,19.7,81.2,89.87,89.78,81.5556,7.72,5.77,23.00,15.02
New Jersey,1.02,2.22,2.46,24.4,28.6,19.9,83,83.34,90.76,74.4681,6.21,5.65,22.44,12.85
NY Islanders,1.22,2.77,2.57,29.4,30.4,18.3,84.5,93.16,97.31,80.6931,9.98,7.6,28.18,16.12
NY Rangers,1.23,2.84,2.62,28.5,30.4,18.6,78.2,104.13,98.63,76.6265,10.05,7.35,26.39,16.02
Ottawa,1.04,2.8,2.94,28.4,32.8,15.9,75.8,89.4,102.48,75.7848,9.21,7.13,27.59,14.59
Philadelphia,1.17,2.57,2.56,31,30.7,18.9,80.5,107.45,98.31,77.4492,8.38,5.55,26.78,15.96
Pittsburgh,1.27,2.94,2.43,33.2,29.7,18.4,84.4,96.38,96.41,76.2195,7.7,6.1,23.74,13.30
San Jose,1.2,2.89,2.52,30.4,27.4,22.5,80.5,102.02,99.83,74.6124,11.35,7.23,20.56,15.76
St. Louis,1.3,2.67,2.4,30.2,29.7,21.5,85.1,82.54,95.67,74.092,5.43,6.15,23.62,13.74
Tampa Bay,1.18,2.73,2.41,29.3,28.9,15.8,84,89.12,101.47,78.5124,8.28,5.73,20.51,12.52
Toronto,0.84,2.34,2.93,30.7,30.5,15.4,81.6,114.77,85.46,79.1753,7.63,8.16,25.84,12.62
Vancouver,0.91,2.27,2.91,28.2,32.5,15.8,81.1,90.29,97.03,76.3676,8.06,5.37,18.70,12.90
Washington,1.46,3.02,2.33,30.6,28.4,21.9,85.1,109.16,99.38,78.5563,8.85,6.89,24.32,15.44
Winnipeg,0.95,2.59,2.88,29.6,29.5,14.8,78.4,89.98,105.73,75.705,9.34,6.71,25.65,13.82
